title,artist,link
Seated Male Nude (1965-1966),H Chart,https://collections.ed.ac.uk/art/record/21268?highlight=*:*
Portrait of a Young Man (1950),Alexander F Mitchell,https://collections.ed.ac.uk/art/record/21056?highlight=*:*
Untitled (1969),Richard Easson,https://collections.ed.ac.uk/art/record/99829?highlight=*:*
Untitled (1955),Alan Bartram,https://collections.ed.ac.uk/art/record/99827?highlight=*:*
After the Fall of Snow (1986),Hilary A. Fisher,https://collections.ed.ac.uk/art/record/21705?highlight=*:*
Portrait of a Woman (Pre 1949?),John Hunter,https://collections.ed.ac.uk/art/record/21042?highlight=*:*
Untitled (1967),Helen Pollock,https://collections.ed.ac.uk/art/record/112446?highlight=*:*
Train Station,T Honeyman,https://collections.ed.ac.uk/art/record/21463?highlight=*:*
Untitled - Nude Male in the Forest (1963),Leonore D Mackay,https://collections.ed.ac.uk/art/record/99395?highlight=*:*
Untitled (Unknown),David C Duke,https://collections.ed.ac.uk/art/record/21986?highlight=*:*
Small black figure with long wavy hair,Unknown,https://collections.ed.ac.uk/art/record/20546?highlight=*:*
Untitled (1967),Arthur J Baglee,https://collections.ed.ac.uk/art/record/99380?highlight=*:*
Opera - Vienna (1963-1964),Leslie Allan,https://collections.ed.ac.uk/art/record/99384?highlight=*:*
Untitled (Mar 1963),John Bellany,https://collections.ed.ac.uk/art/record/21535?highlight=*:*
Performing Labour in an Industrial Setting III (2020),Aisling Ward,https://collections.ed.ac.uk/art/record/113777?highlight=*:*
Untitled,Jean M. A. Conacher,https://collections.ed.ac.uk/art/record/112353?highlight=*:*
Portrait in Green,Claudia Petretti,https://collections.ed.ac.uk/art/record/21438?highlight=*:*
Untitled - Two Girls On a Walk (1987),Susan Jane Mowatt,https://collections.ed.ac.uk/art/record/99414?highlight=*:*
Kneeling Male Nude (1953),George Hamilton,https://collections.ed.ac.uk/art/record/20932?highlight=*:*
Crow in Black Spectacles,Michael Orthenstein,https://collections.ed.ac.uk/art/record/122251?highlight=*:*
Portrait of a Man (1966),James Fairgrieve,https://collections.ed.ac.uk/art/record/21398?highlight=*:*
Standing Boxer (1964),John Bellany,https://collections.ed.ac.uk/art/record/20778?highlight=*:*
Isabella of Aragon (broken) (Post 1912),Unknown,https://collections.ed.ac.uk/art/record/20532?highlight=*:*
Vojna Tajna (1983),Boris Bućan,https://collections.ed.ac.uk/art/record/22471?highlight=*:*
Man in a Suit Seated on a Stool (1959),Albert Robson,https://collections.ed.ac.uk/art/record/20785?highlight=*:*
Portrait of a Man (1957),Rupert F C Cracknell,https://collections.ed.ac.uk/art/record/21362?highlight=*:*
Man Against Yellow Wall (1985-1986),Robbie Bushe,https://collections.ed.ac.uk/art/record/21520?highlight=*:*
Portrait of a Woman (1957),Norman E Kirkpatrick,https://collections.ed.ac.uk/art/record/21021?highlight=*:*
Two Men on a Train (12 JUN 1948),Marjorie Wallace,https://collections.ed.ac.uk/art/record/20856?highlight=*:*
Standing Male Nude (1959),Gwen Reilly,https://collections.ed.ac.uk/art/record/21151?highlight=*:*
Untitled (1962),Kathleen Russell,https://collections.ed.ac.uk/art/record/99521?highlight=*:*
Seated Female Nude (1955),Eric Ritchie,https://collections.ed.ac.uk/art/record/21194?highlight=*:*
Antique Life drawing - 3rd Year (1962),Kathleen Russell,https://collections.ed.ac.uk/art/record/99520?highlight=*:*
Jug (1920s),Emma Gillies,https://collections.ed.ac.uk/art/record/122541?highlight=*:*
Portrait of an Old Woman (1959),Barbara Strachan,https://collections.ed.ac.uk/art/record/20868?highlight=*:*
Young Boy (1963),Roger Cameron,https://collections.ed.ac.uk/art/record/21265?highlight=*:*
Portrait of a Woman (1957),Andrew McPhee,https://collections.ed.ac.uk/art/record/21064?highlight=*:*
Portrait of Seated Man (1956),Ballantyne,https://collections.ed.ac.uk/art/record/21180?highlight=*:*
Idolino,Unknown,https://collections.ed.ac.uk/art/record/20576?highlight=*:*
Standing Male Nude (1952),David Michie,https://collections.ed.ac.uk/art/record/21386?highlight=*:*
The Etiquette of Landscape and Face: Passage 2 (2015),Leonie Neuweger,https://collections.ed.ac.uk/art/record/53782?highlight=*:*
Landscape with Orchards (1955),Margaret Proudfoot,https://collections.ed.ac.uk/art/record/21033?highlight=*:*
Untitled (MAR 1962),Irene Thomson,https://collections.ed.ac.uk/art/record/22015?highlight=*:*
Marshal from the East Frieze of the Parthenon (1836-1837),NA,https://collections.ed.ac.uk/art/record/20679?highlight=*:*
Figures in an Interior,Henry Rogers,https://collections.ed.ac.uk/art/record/21491?highlight=*:*
Untitled (2002),Lisa Flett,https://collections.ed.ac.uk/art/record/99935?highlight=*:*
Untitled (1967),Sylvia M. R. Cameron,https://collections.ed.ac.uk/art/record/112303?highlight=*:*
Seated Female Nude (21 NOV 1957),Sheena McEwan,https://collections.ed.ac.uk/art/record/20900?highlight=*:*
Nighttime Scene of the City and River (1962),Geoffrey J Roper,https://collections.ed.ac.uk/art/record/99370?highlight=*:*
Untitled,Mary McKay,https://collections.ed.ac.uk/art/record/112445?highlight=*:*
Portrait of Sleeping Woman (1957),Sheena McEwan,https://collections.ed.ac.uk/art/record/21009?highlight=*:*
Demolished Building,Keith Thomson,https://collections.ed.ac.uk/art/record/21464?highlight=*:*
Peacock (Undated but found amongst ECA artworks from 1960s.),Carol Handyside,https://collections.ed.ac.uk/art/record/21288?highlight=*:*
Striding Male Nude (Circa 1939),Ian R McRobbie,https://collections.ed.ac.uk/art/record/21062?highlight=*:*
Car Interior,Elise Brown,https://collections.ed.ac.uk/art/record/21495?highlight=*:*
Horses from North Frieze of the Parthenon (1836-1837),NA,https://collections.ed.ac.uk/art/record/20716?highlight=*:*
Untitled,William Breckenridge,https://collections.ed.ac.uk/art/record/21458?highlight=*:*
Riders from the West Frieze of the Parthenon (1836-1837),NA,https://collections.ed.ac.uk/art/record/20677?highlight=*:*
Portrait of a Seated Woman (1954),Margaret Proudfoot,https://collections.ed.ac.uk/art/record/21212?highlight=*:*
Untitled - Two Apes Sun Bathing (1963),Ann F Ward,https://collections.ed.ac.uk/art/record/99347?highlight=*:*
Reclining Male Nude (1956),Ballantyne,https://collections.ed.ac.uk/art/record/21244?highlight=*:*
Seated Male Nude (1954),Robert Fraser,https://collections.ed.ac.uk/art/record/21243?highlight=*:*
Portrait of a Man in Red Shirt (1968),Alan T. Johnston,https://collections.ed.ac.uk/art/record/21423?highlight=*:*
Untitled - Older Couple (1983),Kathleen R Greer,https://collections.ed.ac.uk/art/record/99430?highlight=*:*
Reclining Male Nude (1954),Alex Sutherland,https://collections.ed.ac.uk/art/record/21248?highlight=*:*
Untitled - Pensive Girl (1963),Felicity J Bostock,https://collections.ed.ac.uk/art/record/99371?highlight=*:*
Siena (1956),John P Busby,https://collections.ed.ac.uk/art/record/21379?highlight=*:*
Standing Female Nude (1959),R G Browne,https://collections.ed.ac.uk/art/record/20953?highlight=*:*
Portrait of a Woman (1957),Ruth Illingworth,https://collections.ed.ac.uk/art/record/21007?highlight=*:*
Aix: Moroccan Women (1955),Margaret Proudfoot,https://collections.ed.ac.uk/art/record/21031?highlight=*:*
Sampler (1932),Patty Mitchell,https://collections.ed.ac.uk/art/record/100013?highlight=*:*
Standing Male Nude Leaning on Plinth (1959),James C. Y. Gavin,https://collections.ed.ac.uk/art/record/20876?highlight=*:*
Untitled (1967),Gwen Mackenzie,https://collections.ed.ac.uk/art/record/111034?highlight=*:*
Seated Female Nude (1953),Lilias Stirling,https://collections.ed.ac.uk/art/record/20944?highlight=*:*
Untitled (1968),Sheila Wardrope,https://collections.ed.ac.uk/art/record/22495?highlight=*:*
Sketches of Five Heads (1959),Denness Morton,https://collections.ed.ac.uk/art/record/20886?highlight=*:*
Portrait of a Man Seated (1959),C Byron,https://collections.ed.ac.uk/art/record/20914?highlight=*:*
Portrait of a Man in a Flat Cap (1963),John Milligan,https://collections.ed.ac.uk/art/record/21287?highlight=*:*
Portrait of a Woman (1957),Peter McGinn,https://collections.ed.ac.uk/art/record/21086?highlight=*:*
Portrait of a Woman (1950),Alexander F Mitchell,https://collections.ed.ac.uk/art/record/21055?highlight=*:*
Portrait with a Beret (1986),Charles P. Stiven,https://collections.ed.ac.uk/art/record/21437?highlight=*:*
Man and Basket (1950),Alfred Hackney,https://collections.ed.ac.uk/art/record/21030?highlight=*:*
Untitled (Unknown),Unknown,https://collections.ed.ac.uk/art/record/21994?highlight=*:*
Portrait of a Bearded Man (1960),Elise Brown,https://collections.ed.ac.uk/art/record/20977?highlight=*:*
Standing Male Nude (1939-1940),Eleanora Borrie,https://collections.ed.ac.uk/art/record/21133?highlight=*:*
Two Boxes on Pink (Circa 1968),Maureen Marshall,https://collections.ed.ac.uk/art/record/22563?highlight=*:*
Untitled - The Magi (1963),Monika L I Uecker,https://collections.ed.ac.uk/art/record/99444?highlight=*:*
Untitled (2002),Grace Paul,https://collections.ed.ac.uk/art/record/99934?highlight=*:*
Green Landscape (Circa 1967),Helen Pollock,https://collections.ed.ac.uk/art/record/21436?highlight=*:*
Nabucco (1983),Boris Bućan,https://collections.ed.ac.uk/art/record/22031?highlight=*:*
For Peter (JUN 2002),Jeremy Mitchell,https://collections.ed.ac.uk/art/record/21845?highlight=*:*
Riders from South Frieze of the Parthenon (1836-1837),NA,https://collections.ed.ac.uk/art/record/20719?highlight=*:*
Don Juan (1983),Boris Bućan,https://collections.ed.ac.uk/art/record/22038?highlight=*:*
Still Life and Reflected Portrait (20 OCT 1962),John C Mark Jones,https://collections.ed.ac.uk/art/record/99258?highlight=*:*
Untitled - Portrait of Girl in Glasses (1965),Laura McPherson,https://collections.ed.ac.uk/art/record/99389?highlight=*:*
Untitled - Circus Rider and Horse (1963),Jean M. Marshall,https://collections.ed.ac.uk/art/record/99364?highlight=*:*
Jacobean fragment (Jacobean?),Unknown,https://collections.ed.ac.uk/art/record/100011?highlight=*:*
Portrait of a Woman (1939-1940),James Gordon,https://collections.ed.ac.uk/art/record/21097?highlight=*:*
Espresso Cup (1920s),Emma Gillies,https://collections.ed.ac.uk/art/record/53699?highlight=*:*
Brazie (1969),"Eduardo Luigi Paolozzi KBE, RA",https://collections.ed.ac.uk/art/record/21701?highlight=*:*
